Time,Action,Data
2018/01/22 07:21:54,Create,"{'title': 'Toy Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/03_goal_actions_no_social/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/22 07:55:36,Expire,
2018/01/22 08:12:12,Create,"{'title': 'Toy Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/03_goal_actions_no_social/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/22 08:29:38,Add,20 assignments
2018/01/22 09:13:01,Add,10 assignments
2018/01/22 09:36:55,Add,10 assignments
2018/01/22 10:04:47,Add,10 assignments
2018/01/22 10:42:17,Add,10 assignments
2018/01/22 10:42:21,Add,10 assignments
2018/01/22 10:53:49,Add,10 assignments
2018/01/22 10:53:52,Add,10 assignments
2018/01/22 11:03:43,Add,10 assignments
2018/01/22 11:42:54,Add,10 assignments
2018/01/22 11:43:09,Add,10 assignments
2018/01/22 12:28:45,Add,10 assignments
2018/01/22 12:28:49,Add,10 assignments
2018/01/22 12:54:53,Add,10 assignments
2018/01/22 13:04:08,Add,10 assignments
2018/01/22 13:10:00,Add,10 assignments
2018/01/22 13:34:42,Add,10 assignments
2018/01/22 13:51:28,Add,5 assignments
2018/01/22 15:26:10,Add,10 assignments
2018/01/22 15:32:19,Add,10 assignments
2018/01/22 15:45:49,Add,10 assignments
2018/01/22 15:50:42,Add,10 assignments
2018/01/22 15:50:50,Add,10 assignments
2018/01/22 16:30:37,Add,10 assignments
2018/01/22 16:43:14,Add,10 assignments
2018/01/22 16:47:27,Add,10 assignments
2018/01/22 16:56:43,Add,10 assignments
2018/01/22 17:01:06,Add,10 assignments
2018/01/22 17:38:23,Add,10 assignments
2018/01/22 17:47:59,Add,10 assignments
2018/01/22 20:15:03,Add,10 assignments
2018/01/22 20:26:45,Add,10 assignments
2018/01/22 20:56:39,Add,5 assignments
2018/01/22 21:01:56,Add,5 assignments
2018/01/22 21:10:17,Add,5 assignments
