id,condition,slider_value,hypothesis,hypothesis_type,slider_response_type_collapsed,slider_value_normalized,slider_value_norm_2,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,comment,age,gender,first_language,experiment_time,action_trial_time,pass_manip_check,action_response_collapsed,action_response
1,performance,48,handlemusic,prior,single_action,0.338,0.683,chrome,1205,600,1280,800,FALSE,decisions,nope,29,f,english,72.947,14.632,TRUE,both_actions,both
1,performance,49,buttonmusic,prior,single_action,0.345,0.683,chrome,1205,600,1280,800,FALSE,decisions,nope,29,f,english,72.947,14.632,TRUE,both_actions,both
1,performance,45,bothmusiclight,prior,both_actions,0.317,0.317,chrome,1205,600,1280,800,FALSE,decisions,nope,29,f,english,72.947,14.632,TRUE,both_actions,both
2,learning,32,buttonmusic,prior,single_action,0.34,0.691,safari,1205,600,1280,800,FALSE,learning,nope,29,m,english,60.906,23.711,TRUE,both_actions,both
2,learning,33,handlemusic,prior,single_action,0.351,0.691,safari,1205,600,1280,800,FALSE,learning,nope,29,m,english,60.906,23.711,TRUE,both_actions,both
2,learning,29,bothmusiclight,prior,both_actions,0.309,0.309,safari,1205,600,1280,800,FALSE,learning,nope,29,m,english,60.906,23.711,TRUE,both_actions,both
1,performance,41,buttonmusic,posterior,single_action,0.333,0.675,chrome,1205,600,1280,800,FALSE,decisions,nope,29,f,english,72.947,14.632,TRUE,both_actions,both
1,performance,42,handlemusic,posterior,single_action,0.341,0.675,chrome,1205,600,1280,800,FALSE,decisions,nope,29,f,english,72.947,14.632,TRUE,both_actions,both
1,performance,40,bothmusiclight,posterior,both_actions,0.325,0.325,chrome,1205,600,1280,800,FALSE,decisions,nope,29,f,english,72.947,14.632,TRUE,both_actions,both
2,learning,79,handlemusic,posterior,single_action,0.594,0.827,safari,1205,600,1280,800,FALSE,learning,nope,29,m,english,60.906,23.711,TRUE,both_actions,both
2,learning,31,buttonmusic,posterior,single_action,0.233,0.827,safari,1205,600,1280,800,FALSE,learning,nope,29,m,english,60.906,23.711,TRUE,both_actions,both
2,learning,23,bothmusiclight,posterior,both_actions,0.173,0.173,safari,1205,600,1280,800,FALSE,learning,nope,29,m,english,60.906,23.711,TRUE,both_actions,both
